id,to,type,weight
obo.ICO_0000005,obo.IAO_0021002,SubClassOf,1.0
obo.ICO_0000006,obo.OBI_0000245,SubClassOf,1.0
obo.ICO_0000007,obo.IAO_0000314,SubClassOf,1.0
obo.ICO_0000008,obo.ICO_0000007,SubClassOf,1.0
obo.ICO_0000009,obo.ICO_0000007,SubClassOf,1.0
obo.ICO_0000010,obo.ICO_0000007,SubClassOf,1.0
obo.ICO_0000011,obo.ICO_0000007,SubClassOf,1.0
obo.ICO_0000012,obo.ICO_0000007,SubClassOf,1.0
obo.ICO_0000013,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000014,obo.ICO_0000013,SubClassOf,1.0
obo.ICO_0000015,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000016,obo.ICO_0000007,SubClassOf,1.0
obo.ICO_0000017,obo.ICO_0000015,SubClassOf,1.0
obo.ICO_0000018,obo.ICO_0000015,SubClassOf,1.0
obo.ICO_0000019,obo.ICO_0000007,SubClassOf,1.0
obo.ICO_0000020,obo.ICO_0000019,SubClassOf,1.0
obo.ICO_0000021,obo.ICO_0000019,SubClassOf,1.0
obo.ICO_0000022,obo.ICO_0000007,SubClassOf,1.0
obo.ICO_0000023,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000024,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000025,obo.ICO_0000022,SubClassOf,1.0
obo.ICO_0000026,obo.ICO_0000022,SubClassOf,1.0
obo.ICO_0000027,obo.ICO_0000022,SubClassOf,1.0
obo.ICO_0000028,obo.ICO_0000007,SubClassOf,1.0
obo.ICO_0000029,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000030,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000031,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000032,obo.ICO_0000085,SubClassOf,1.0
obo.ICO_0000033,obo.ICO_0000031,SubClassOf,1.0
obo.ICO_0000034,obo.ICO_0000029,SubClassOf,1.0
obo.ICO_0000035,obo.IAO_0000030,SubClassOf,1.0
obo.ICO_0000036,obo.IAO_0000416,SubClassOf,1.0
obo.ICO_0000037,obo.ICO_0000035,SubClassOf,1.0
obo.ICO_0000038,obo.ICO_0000035,SubClassOf,1.0
obo.ICO_0000039,obo.ICO_0000035,SubClassOf,1.0
obo.ICO_0000040,obo.ICO_0000073,SubClassOf,1.0
obo.ICO_0000041,obo.IAO_0000033,SubClassOf,1.0
obo.ICO_0000042,obo.ICO_0000041,SubClassOf,1.0
obo.ICO_0000043,obo.ICO_0000041,SubClassOf,1.0
obo.ICO_0000044,obo.IAO_0000027,SubClassOf,1.0
obo.ICO_0000045,obo.NCBITaxon_9606,SubClassOf,1.0
obo.ICO_0000046,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000047,obo.OBI_0000181,SubClassOf,1.0
obo.ICO_0000048,obo.OBI_0000245,SubClassOf,1.0
obo.ICO_0000049,obo.OBI_0000245,SubClassOf,1.0
obo.ICO_0000050,obo.OBI_0000066,SubClassOf,1.0
obo.ICO_0000051,obo.OBI_0000066,SubClassOf,1.0
obo.ICO_0000052,obo.ICO_0000051,SubClassOf,1.0
obo.ICO_0000053,obo.OBI_0000066,SubClassOf,1.0
obo.ICO_0000054,obo.OBI_0000066,SubClassOf,1.0
obo.ICO_0000055,obo.OBI_0000066,SubClassOf,1.0
obo.ICO_0000056,obo.OBI_0000066,SubClassOf,1.0
obo.ICO_0000057,obo.OBI_0000066,SubClassOf,1.0
obo.ICO_0000058,obo.BFO_0000038,SubClassOf,1.0
