id,to,type,weight
obo.IAO_0000304,obo.IAO_0000300,SubClassOf,1.0
obo.IAO_0000305,obo.IAO_0000300,SubClassOf,1.0
obo.IAO_0000306,obo.IAO_0000300,SubClassOf,1.0
obo.IAO_0000307,obo.IAO_0000306,SubClassOf,1.0
obo.IAO_0000308,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000309,obo.IAO_0000308,SubClassOf,1.0
obo.IAO_0000310,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000311,obo.IAO_0000310,SubClassOf,1.0
obo.IAO_0000312,obo.IAO_0000311,SubClassOf,1.0
obo.IAO_0000313,obo.IAO_0000310,SubClassOf,1.0
obo.IAO_0000314,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000315,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000316,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000317,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000318,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000319,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000320,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000321,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000322,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000323,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000324,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000325,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000326,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000327,obo.IAO_0000306,SubClassOf,1.0
obo.IAO_0000328,obo.IAO_0000306,SubClassOf,1.0
obo.IAO_0000329,obo.IAO_0000305,SubClassOf,1.0
obo.IAO_0000330,obo.IAO_0000314,SubClassOf,1.0
obo.IAO_0000400,obo.IAO_0000027,SubClassOf,1.0
obo.IAO_0000401,obo.IAO_0000400,SubClassOf,1.0
obo.IAO_0000402,obo.IAO_0000400,SubClassOf,1.0
obo.IAO_0000403,obo.IAO_0000400,SubClassOf,1.0
obo.IAO_0000408,obo.IAO_0000032,SubClassOf,1.0
obo.IAO_0000409,obo.IAO_0000102,SubClassOf,1.0
obo.IAO_0000414,obo.IAO_0000032,SubClassOf,1.0
obo.IAO_0000415,obo.IAO_0000300,SubClassOf,1.0
obo.IAO_0000416,obo.IAO_0000032,SubClassOf,1.0
obo.IAO_0000422,obo.IAO_0000300,SubClassOf,1.0
obo.IAO_0000429,obo.IAO_0000030,SubClassOf,1.0
obo.IAO_0000442,obo.BFO_0000023,SubClassOf,1.0
obo.IAO_0000443,obo.OBI_0000011,SubClassOf,1.0
